source_file,model,model_path,variant,precision,refinement_stages,images,preprocess_ms,inference_ms,decode_ms,mx_nms_ms,extract_from_mask_ms,post_avg_ms,post_p50_ms,post_p95_ms,e2e_avg_ms,e2e_p95_ms,post_fps,e2e_fps,avg_gpu_power_w,fps_per_watt,energy_j_per_frame,power_samples,AP,AP50,AP75,APm,APl,AR,AR50,AR75,ARm,ARl,detections_path,e2e_p95_ms_note,post_p50_ms_note,post_p95_ms_note
final_report/accuracy_validation_summary_cpu_all.json,pose_model1_fp16_ref1.mxr,pose_model1_fp16_ref1.mxr,standard,fp16,1,5000,7.076037887181156,10.418930365284904,1.5924850622192026,0.0,0.0,63.68464579711436,48.02271499647759,148.64193734247237,82.77209911179962,183.01372477435507,15.702372015788324,12.081365710555533,,,,0,0.3995008973105851,0.6705855225184713,0.40197957698289094,0.4129067322921631,0.4001587267219844,0.46026448362720396,0.7137909319899244,0.4693010075566751,0.43490849494673584,0.4987736900780379,outputs/accuracy_validation_cpu_all/pose_model1_fp16_ref1/detections_standard.json,,,
final_report/accuracy_validation_summary_cpu_all.json,pose_model1_fp16_ref1.mxr,pose_model1_fp16_ref1.mxr,optimized_batch_k10,fp16,1,5000,7.076037887181156,10.418930365284904,1.5924850622192026,0.0,0.0,50.37966404414037,40.312933502718806,107.66136338061187,69.46711735882563,141.78658345190345,19.849278850367988,14.395300078950985,,,,0,0.37771179308742686,0.6343447629803599,0.3802135688803534,0.3839517715718791,0.38775402684014615,0.4356423173803526,0.6780541561712846,0.44253778337531485,0.4027314941272876,0.48413229282794495,outputs/accuracy_validation_cpu_all/pose_model1_fp16_ref1/detections_optimized_batch_k10.json,,,
final_report/accuracy_validation_summary_cpu_all.json,pose_model1_fp16_ref1.mxr,pose_model1_fp16_ref1.mxr,optimized_batch_k20,fp16,1,5000,7.076037887181156,10.418930365284904,1.5924850622192026,0.0,0.0,49.82061018293025,40.80071600037627,107.92876718332992,68.90806349761552,142.37108138913754,20.07201429946806,14.512089721322727,,,,0,0.3995008973105851,0.6705855225184713,0.40197957698289094,0.4129067322921631,0.4001587267219844,0.46026448362720396,0.7137909319899244,0.4693010075566751,0.43490849494673584,0.4987736900780379,outputs/accuracy_validation_cpu_all/pose_model1_fp16_ref1/detections_optimized_batch_k20.json,,,
final_report/accuracy_validation_summary_cpu_all.json,pose_model1_fp16_ref1.mxr,pose_model1_fp16_ref1.mxr,optimized_batch_k20_fast,fp16,1,5000,7.076037887181156,10.418930365284904,1.5924850622192026,0.0,0.0,20.141157511691564,18.502362974686548,33.9787952194456,39.22861082637682,68.47300447989255,49.6495794454474,25.49159857905579,,,,0,0.3995008973105851,0.6705855225184713,0.40197957698289094,0.4129067322921631,0.4001587267219844,0.46026448362720396,0.7137909319899244,0.4693010075566751,0.43490849494673584,0.4987736900780379,outputs/accuracy_validation_cpu_all/pose_model1_fp16_ref1/detections_optimized_batch_k20_fast.json,,,
final_report/accuracy_validation_summary_cpu_k20_fast_two_process.json,pose_model1_fp16_ref1.mxr,pose_model1_fp16_ref1.mxr,cpu_k20_fast_two_process,fp16,1,5000,7.671296537364833,5.39935144118499,1.6337881746469065,0.0,0.0,21.228052489913534,21.184026991249993,28.92381548881531,35.93248864311026,46.07757638441399,47.10747726269982,27.829967746799557,,,,0,0.3995008973105851,0.6705855225184713,0.40197957698289094,0.4129067322921631,0.4001587267219844,0.46026448362720396,0.7137909319899244,0.4693010075566751,0.43490849494673584,0.4987736900780379,outputs/accuracy_validation_cpu_k20_fast_two_process/pose_model1_fp16_ref1/detections_cpu_k20_fast_two_process.json,,,
final_report/accuracy_validation_summary_cpu_all.json,pose_model1_fp16_ref1.mxr,pose_model1_fp16_ref1.mxr,fast_no_resize,fp16,1,5000,7.076037887181156,10.418930365284904,1.5924850622192026,0.0,0.0,1.726306665991433,1.4266794896684587,3.8417560048401356,20.813759980676696,38.047060774988495,579.2713540995865,48.04513941394495,,,,0,0.21837630898523225,0.46904615726202326,0.17689496600264196,0.16348629476180923,0.30313763737852134,0.26734886649874057,0.5118073047858942,0.24071158690176322,0.1675225348265501,0.4045336306205871,outputs/accuracy_validation_cpu_all/pose_model1_fp16_ref1/detections_fast_no_resize.json,,,
final_report/accuracy_validation_summary_cpu_all.json,pose_model1_fp16_ref1.mxr,pose_model1_fp16_ref1.mxr,lowres_cpu_group,fp16,1,5000,7.076037887181156,10.418930365284904,1.5924850622192026,0.0,0.0,1.1383552077575587,0.917167984880507,2.7341334964148705,20.225808522442822,36.8561988521833,878.4604253446479,49.44178122176856,,,,0,0.21837630898523225,0.46904615726202326,0.17689496600264196,0.16348629476180923,0.30313763737852134,0.26734886649874057,0.5118073047858942,0.24071158690176322,0.1675225348265501,0.4045336306205871,outputs/accuracy_validation_cpu_all/pose_model1_fp16_ref1/detections_lowres_cpu_group.json,,,
final_report/accuracy_validation_summary_gpu_nms_fullres_two_process.json,pose_model1_fp16_ref1.mxr,pose_model1_fp16_ref1.mxr,gpu_nms_fullres_two_process,fp16,1,5000,6.963172507379204,7.573342234594747,1.5645177263068035,0.0,0.0,11.96744665474398,11.700545001076534,15.489467931911351,28.068479123024737,33.36816293594894,83.56001316317486,35.62715299311298,,,,0,0.3995008973105851,0.6705855225184713,0.40197957698289094,0.4129067322921631,0.4001587267219844,0.46026448362720396,0.7137909319899244,0.4693010075566751,0.43490849494673584,0.4987736900780379,outputs/accuracy_validation_gpu_nms_fullres_two_process/pose_model1_fp16_ref1/detections_gpu_nms_fullres_two_process.json,,,
final_report/accuracy_validation_summary_gpu_nms_lowres_two_process.json,pose_model1_fp16_ref1.mxr,pose_model1_fp16_ref1.mxr,gpu_nms_lowres_two_process,fp16,1,5000,6.823108366725501,7.302206301433034,1.5256516624358483,0.0,0.0,3.6895662064198405,3.3552789827808738,6.3617340085329515,19.340532537014223,24.244371388340372,271.03457264433996,51.70488444856334,,,,0,0.24794373823375743,0.5418701682699961,0.19608299389462996,0.21160631232695562,0.3118381655885539,0.3057934508816121,0.5900503778337531,0.2740869017632242,0.21723572794318496,0.428725380899294,outputs/accuracy_validation_gpu_nms_lowres_two_process/pose_model1_fp16_ref1/detections_gpu_nms_lowres_two_process.json,,,
final_report/accuracy_validation_summary_migraphx_nms_merged.json,pose_model1_fp16_ref1.mxr,pose_model1_fp16_ref1.mxr,migraphx_nms,fp16,1,5000,7.165167731442489,5.6061651587486265,1.5652033447055147,10.12175453498494,6.9189991294057105,23.29332618966,22.284478996880352,33.40788525936659,37.629862424556634,49.39325562969316,42.93075157483966,26.574638746152214,,,,0,0.4060853749300534,0.6729173797153426,0.4117052224292724,0.42075252849973,0.40460026982610287,0.4660894206549119,0.718198992443325,0.47795969773299746,0.4417918601475006,0.5030100334448161,outputs/accuracy_validation_migraphx_nms_merged/detections_migraphx_nms_merged.json,weighted average of per-chunk percentiles; exact percentile requires per-image detailed CSV,weighted average of per-chunk percentiles; exact percentile requires per-image detailed CSV,weighted average of per-chunk percentiles; exact percentile requires per-image detailed CSV
final_report/accuracy_validation_summary_migraphx_nms_k20_merged.json,pose_model1_fp16_ref1.mxr,pose_model1_fp16_ref1.mxr,migraphx_nms_k20,fp16,1,5000,5.785871553514153,5.3178568974719385,1.2072445762227288,8.151180321897845,5.73879276686348,19.53996925392421,19.162444985704497,26.31691872549708,31.85094228113303,39.00128815730568,51.17715319839463,31.396245397498085,,,,0,0.3995008973105851,0.6705855225184713,0.40197957698289094,0.4129067322921631,0.4001587267219844,0.46026448362720396,0.7137909319899244,0.4693010075566751,0.43490849494673584,0.4987736900780379,outputs/accuracy_validation_migraphx_nms_k20_merged/detections_migraphx_nms_k20_merged.json,weighted average of per-chunk percentiles; exact percentile requires per-image detailed CSV,weighted average of per-chunk percentiles; exact percentile requires per-image detailed CSV,weighted average of per-chunk percentiles; exact percentile requires per-image detailed CSV
